text,label
Start a new fixed deposit from your bank dashboard: https://groww.in,0
Start a new fixed deposit from your bank dashboard: https://bseindia.com,0
Start earning passively. Invest ₹2500 in our gold scheme now.,1
Our trading bot earns ₹10000 daily. Start now with ₹1500.,1
New IPO opportunity! Invest today and watch your money grow!,1
Check out our mutual fund offerings: https://bseindia.com,0
Start earning passively. Invest ₹500 in our gold scheme now.,1
Visit your bank’s investment page for personalized advice: https://icicidirect.com,0
Limited offer: Put ₹5000 and receive ₹10000 in 24 hours!,1
Limited offer: Put ₹1000 and receive ₹7500 in 24 hours!,1
Be a millionaire! Start with just ₹500.,1
Use trusted platforms to manage your 401(k) or PPF account.,0
Learn about safe investment options at: https://hdfcbank.com,0
New IPO opportunity! Invest today and watch your money grow!,1
Check out our mutual fund offerings: https://mutualfundsahihai.com,0
Join our crypto trading platform and earn ₹2500 per week!,1
View your SIP portfolio performance here: https://mutualfundsahihai.com,0
Only ₹1000 needed to get started with our guaranteed returns program.,1
Start earning passively. Invest ₹2500 in our gold scheme now.,1
Consult SEBI-registered advisors for long-term investments.,0
Learn about safe investment options at: https://nseindia.com,0
This investment plan is endorsed by celebrities! Earn big returns.,1
Join our crypto trading platform and earn ₹5000 per week!,1
Our trading bot earns ₹5000 daily. Start now with ₹5000.,1
Be a millionaire! Start with just ₹500.,1
Invest ₹2500 today and get triple returns in just 7 days!,1
Check out our mutual fund offerings: https://zerodha.com,0
Track Nifty and Sensex live at: https://groww.in,0
100% secure investment! Double your amount within 48 hours.,1
Consult SEBI-registered advisors for long-term investments.,0
View your SIP portfolio performance here: https://nseindia.com,0
Access your brokerage dashboard securely via: https://moneycontrol.com,0
Track Nifty and Sensex live at: https://mutualfundsahihai.com,0
Track Nifty and Sensex live at: https://bseindia.com,0
Track Nifty and Sensex live at: https://groww.in,0
View your SIP portfolio performance here: https://nseindia.com,0
Limited offer: Put ₹5000 and receive ₹7500 in 24 hours!,1
Track Nifty and Sensex live at: https://nseindia.com,0
Access your brokerage dashboard securely via: https://zerodha.com,0
Start earning passively. Invest ₹5000 in our gold scheme now.,1
Limited offer: Put ₹5000 and receive ₹5000 in 24 hours!,1
Our trading bot earns ₹7500 daily. Start now with ₹1000.,1
Access your brokerage dashboard securely via: https://icicidirect.com,0
View your SIP portfolio performance here: https://mutualfundsahihai.com,0
Track Nifty and Sensex live at: https://moneycontrol.com,0
Invest ₹5000 today and get triple returns in just 7 days!,1
Start a new fixed deposit from your bank dashboard: https://bseindia.com,0
Learn about safe investment options at: https://bseindia.com,0
Only ₹1500 needed to get started with our guaranteed returns program.,1
Be a millionaire! Start with just ₹5000.,1
Check out our mutual fund offerings: https://zerodha.com,0
Diversify your assets with certified financial tools.,0
Consult SEBI-registered advisors for long-term investments.,0
100% secure investment! Double your amount within 48 hours.,1
Visit your bank’s investment page for personalized advice: https://mutualfundsahihai.com,0
100% secure investment! Double your amount within 48 hours.,1
Join our crypto trading platform and earn ₹5000 per week!,1
Use trusted platforms to manage your 401(k) or PPF account.,0
100% secure investment! Double your amount within 48 hours.,1
Start earning passively. Invest ₹2500 in our gold scheme now.,1
Check out our mutual fund offerings: https://nseindia.com,0
Be a millionaire! Start with just ₹500.,1
Our trading bot earns ₹10000 daily. Start now with ₹1000.,1
Visit your bank’s investment page for personalized advice: https://hdfcbank.com,0
Invest ₹1500 today and get triple returns in just 7 days!,1
Consult SEBI-registered advisors for long-term investments.,0
Be a millionaire! Start with just ₹500.,1
100% secure investment! Double your amount within 48 hours.,1
Only ₹500 needed to get started with our guaranteed returns program.,1
Only ₹1500 needed to get started with our guaranteed returns program.,1
Visit your bank’s investment page for personalized advice: https://moneycontrol.com,0
Only ₹5000 needed to get started with our guaranteed returns program.,1
Limited offer: Put ₹1000 and receive ₹7500 in 24 hours!,1
Access your brokerage dashboard securely via: https://groww.in,0
This investment plan is endorsed by celebrities! Earn big returns.,1
This investment plan is endorsed by celebrities! Earn big returns.,1
Track Nifty and Sensex live at: https://groww.in,0
Use trusted platforms to manage your 401(k) or PPF account.,0
Join our crypto trading platform and earn ₹500 per week!,1
100% secure investment! Double your amount within 48 hours.,1
Limited offer: Put ₹1000 and receive ₹3000 in 24 hours!,1
Only ₹500 needed to get started with our guaranteed returns program.,1
Only ₹500 needed to get started with our guaranteed returns program.,1
Start earning passively. Invest ₹5000 in our gold scheme now.,1
Invest ₹500 today and get triple returns in just 7 days!,1
New IPO opportunity! Invest today and watch your money grow!,1
Learn about safe investment options at: https://groww.in,0
Join our crypto trading platform and earn ₹2500 per week!,1
Start a new fixed deposit from your bank dashboard: https://icicidirect.com,0
100% secure investment! Double your amount within 48 hours.,1
Access your brokerage dashboard securely via: https://groww.in,0
Use trusted platforms to manage your 401(k) or PPF account.,0
Start a new fixed deposit from your bank dashboard: https://nseindia.com,0
Consult SEBI-registered advisors for long-term investments.,0
Join our crypto trading platform and earn ₹1500 per week!,1
Use trusted platforms to manage your 401(k) or PPF account.,0
Start a new fixed deposit from your bank dashboard: https://groww.in,0
Only ₹2500 needed to get started with our guaranteed returns program.,1
100% secure investment! Double your amount within 48 hours.,1
View your SIP portfolio performance here: https://nseindia.com,0
Be a millionaire! Start with just ₹5000.,1
Use trusted platforms to manage your 401(k) or PPF account.,0
Limited offer: Put ₹1000 and receive ₹7500 in 24 hours!,1
Access your brokerage dashboard securely via: https://bseindia.com,0
Visit your bank’s investment page for personalized advice: https://icicidirect.com,0
Learn about safe investment options at: https://icicidirect.com,0
Check out our mutual fund offerings: https://bseindia.com,0
This investment plan is endorsed by celebrities! Earn big returns.,1
Visit your bank’s investment page for personalized advice: https://bseindia.com,0
Access your brokerage dashboard securely via: https://hdfcbank.com,0
This investment plan is endorsed by celebrities! Earn big returns.,1
Track Nifty and Sensex live at: https://moneycontrol.com,0
Start a new fixed deposit from your bank dashboard: https://icicidirect.com,0
Only ₹1500 needed to get started with our guaranteed returns program.,1
Start earning passively. Invest ₹2500 in our gold scheme now.,1
Invest ₹2500 today and get triple returns in just 7 days!,1
Track Nifty and Sensex live at: https://nseindia.com,0
Consult SEBI-registered advisors for long-term investments.,0
Visit your bank’s investment page for personalized advice: https://moneycontrol.com,0
Diversify your assets with certified financial tools.,0
Use trusted platforms to manage your 401(k) or PPF account.,0
Start a new fixed deposit from your bank dashboard: https://bseindia.com,0
Consult SEBI-registered advisors for long-term investments.,0
Join our crypto trading platform and earn ₹1500 per week!,1
Only ₹2500 needed to get started with our guaranteed returns program.,1
Invest ₹2500 today and get triple returns in just 7 days!,1
Be a millionaire! Start with just ₹1000.,1
Start a new fixed deposit from your bank dashboard: https://hdfcbank.com,0
Check out our mutual fund offerings: https://bseindia.com,0
Invest ₹5000 today and get triple returns in just 7 days!,1
Limited offer: Put ₹1000 and receive ₹3000 in 24 hours!,1
This investment plan is endorsed by celebrities! Earn big returns.,1
Our trading bot earns ₹7500 daily. Start now with ₹500.,1
Access your brokerage dashboard securely via: https://zerodha.com,0
Our trading bot earns ₹2000 daily. Start now with ₹1500.,1
This investment plan is endorsed by celebrities! Earn big returns.,1
Our trading bot earns ₹10000 daily. Start now with ₹1000.,1
Be a millionaire! Start with just ₹2500.,1
Visit your bank’s investment page for personalized advice: https://nseindia.com,0
Join our crypto trading platform and earn ₹2500 per week!,1
Check out our mutual fund offerings: https://icicidirect.com,0
Check out our mutual fund offerings: https://zerodha.com,0
Visit your bank’s investment page for personalized advice: https://mutualfundsahihai.com,0
This investment plan is endorsed by celebrities! Earn big returns.,1
Our trading bot earns ₹10000 daily. Start now with ₹2500.,1
Join our crypto trading platform and earn ₹5000 per week!,1
Start earning passively. Invest ₹5000 in our gold scheme now.,1
Track Nifty and Sensex live at: https://zerodha.com,0
Be a millionaire! Start with just ₹2500.,1
Diversify your assets with certified financial tools.,0
View your SIP portfolio performance here: https://groww.in,0
Diversify your assets with certified financial tools.,0
Access your brokerage dashboard securely via: https://hdfcbank.com,0
Limited offer: Put ₹2500 and receive ₹5000 in 24 hours!,1
This investment plan is endorsed by celebrities! Earn big returns.,1
Be a millionaire! Start with just ₹500.,1
Consult SEBI-registered advisors for long-term investments.,0
Use trusted platforms to manage your 401(k) or PPF account.,0
Limited offer: Put ₹1000 and receive ₹10000 in 24 hours!,1
100% secure investment! Double your amount within 48 hours.,1
